indig,age,t_ed,income,quickstats_code,CED_NAME_2021,STATE_NAME_2021,State_acronym,dem_rating,FullName,Party,DivisionID,Australian Labor Party Percentage,Coalition point lead
3.0,45.0,11.0,682.0,402,Barker,South Australia,SA,Rural,Mr Tony Pasin MP,Liberal Party of Australia,180,33.38,16.619999999999997
1.0,42.0,34.1,824.0,403,Boothby,South Australia,SA,Outer Metropolitan,Ms Louise Miller-Frost MP,Australian Labor Party,182,53.28,-3.280000000000001
7.4,45.0,10.1,643.0,404,Grey,South Australia,SA,Rural,Mr Rowan Ramsey MP,Liberal Party of Australia,183,39.93,10.07
2.0,42.0,23.8,776.0,405,Hindmarsh,South Australia,SA,Inner Metropolitan,Hon Mark Butler MP,Australian Labor Party,185,58.95,-8.950000000000003
1.9,40.0,16.8,723.0,406,Kingston,South Australia,SA,Outer Metropolitan,Hon Amanda Rishworth MP,Australian Labor Party,186,66.35,-16.349999999999994
1.8,39.0,19.3,722.0,407,Makin,South Australia,SA,Outer Metropolitan,Mr Tony Zappia MP,Australian Labor Party,187,60.8,-10.799999999999997
1.3,46.0,22.7,727.0,408,Mayo,South Australia,SA,Rural,Ms Rebekha Sharkie MP,Centre Alliance,188,51.59,-1.5900000000000034
3.6,35.0,9.5,635.0,409,Spence,South Australia,SA,Outer Metropolitan,Mr Matt Burnell MP,Australian Labor Party,325,62.9,-12.899999999999999
0.8,41.0,38.1,826.0,410,Sturt,South Australia,SA,Inner Metropolitan,Mr James Stevens MP,Liberal Party of Australia,190,49.55,0.45000000000000284
3.1,35.0,13.6,792.0,501,Brand,Western Australia,WA,Outer Metropolitan,Hon Madeleine King MP,Australian Labor Party,235,66.71,-16.709999999999994
3.0,35.0,18.9,747.0,502,Burt,Western Australia,WA,Outer Metropolitan,Hon Matt Keogh MP,Australian Labor Party,317,65.21,-15.209999999999994
2.7,42.0,12.5,694.0,503,Canning,Western Australia,WA,Outer Metropolitan,Hon Andrew Hastie MP,Liberal Party of Australia,236,46.41,3.5900000000000034
2.1,38.0,20.4,724.0,504,Cowan,Western Australia,WA,Inner Metropolitan,Hon Dr Anne Aly MP,Australian Labor Party,237,60.82,-10.82
0.7,39.0,47.9,1115.0,505,Curtin,Western Australia,WA,Inner Metropolitan,Ms Kate Chaney MP,Independent,238,44.4,5.600000000000001
15.2,37.0,12.4,928.0,506,Durack,Western Australia,WA,Rural,Hon Melissa Price MP,Liberal Party of Australia,312,45.73,4.270000000000003
2.7,42.0,16.0,759.0,507,Forrest,Western Australia,WA,Rural,Hon Nola Marino MP,Liberal Party of Australia,239,45.71,4.289999999999999
1.8,38.0,28.8,934.0,508,Fremantle,Western Australia,WA,Inner Metropolitan,Mr Josh Wilson MP,Australian Labor Party,240,66.89,-16.89
3.3,37.0,19.4,867.0,509,Hasluck,Western Australia,WA,Outer Metropolitan,Ms Tania Lawrence MP,Australian Labor Party,305,56.0,-6.0
0.8,42.0,28.3,923.0,510,Moore,Western Australia,WA,Outer Metropolitan,Mr Ian Goodenough MP,Liberal Party of Australia,242,49.34,0.6599999999999966
5.7,42.0,12.6,772.0,511,O'Connor,Western Australia,WA,Rural,Mr Rick Wilson MP,Liberal Party of Australia,243,43.03,6.969999999999999
1.7,35.0,18.0,858.0,512,Pearce,Western Australia,WA,Outer Metropolitan,Ms Tracey Roberts MP,Australian Labor Party,244,59.04,-9.04
